"district_no","accumulation_period","Year","stations_rain","stations_temp","Y_t","IR_t","IT_t","prediction"
1059,"3:7",2019,4466,7298,87.6997058823529,388.9,11.9986928104575,88.9052684266708
1059,"3:7",2020,4466,7298,90.3498529411765,329.8,11.3091503267974,94.548227338072
1059,"3:7",2021,4466,7298,91.6,366.9,11.2254901960784,94.2748887820068
1060,"3:9",2006,5280,4039,82.2125,547,12.9285046728972,81.8524869305884
1060,"3:9",2007,5280,4039,69.185,627.3,13.4369158878505,69.7789739805642
1060,"3:9",2008,5280,4039,83.8575,434.7,12.8331775700935,91.8409806849631
1060,"3:9",2009,5280,4039,90.03,351.5,13.2817757009346,86.4152198918526
1060,"3:9",2010,5280,4039,85.3025,482.3,12.4448598130841,88.3302425474835
1060,"3:9",2011,5280,4039,73.775,571.7,13.1322429906542,79.0076354658304
1060,"3:9",2012,5280,4039,90.3475,386.2,12.6658878504673,91.2218329157791
1060,"3:9",2013,5280,4039,88.12,471.3,11.8242990654206,88.3824749998057
1060,"3:9",2014,5280,4039,102.2925,425.3,13.8205607476636,92.8581292763209
1060,"3:9",2015,5280,4039,95.765,415.6,12.4771028037383,92.1007099507893
1060,"3:9",2016,5280,4039,87.3375,397.1,13.4481308411215,90.7809230636428
1060,"3:9",2017,5280,4039,86.11,577.2,12.8757009345794,75.5860162592351
1060,"3:9",2018,5280,4039,55.3825,248.3,14.0621495327103,58.5991796669072
1060,"3:9",2019,5280,4039,83.055,524.8,13.5280373831776,89.1565247124466
1060,"3:9",2020,5280,4039,82.5275,302.8,13.0467289719626,79.8306335716845
1060,"3:9",2021,5280,4039,85.1,521.4,12.7364485981308,84.6580360821043
1061,"3:9",2006,2429,1451,78.1970588235294,577,13.1943925233645,82.1772694848621
1061,"3:9",2007,2429,1451,58.8305882352941,606,13.6285046728972,66.2458534736636
1061,"3:9",2008,2429,1451,90.8641176470588,544,13.0434579439252,87.9687963796184
1061,"3:9",2009,2429,1451,89.6976470588235,458,13.5341121495327,87.8909973852249
1061,"3:9",2010,2429,1451,87.9311764705882,551.6,12.6126168224299,90.8147481228848
1061,"3:9",2011,2429,1451,82.064705882353,558.9,13.2065420560748,84.5964959209348
1061,"3:9",2012,2429,1451,86.1982352941177,505.2,12.8626168224299,89.6213533869907
1061,"3:9",2013,2429,1451,78.9317647058824,476.2,11.9869158878505,79.6091791684099
1061,"3:9",2014,2429,1451,98.9652941176471,439.5,14.1457943925234,86.2255909510786
1061,"3:9",2015,2429,1451,95.2988235294118,516.6,12.7116822429907,90.134494048378
1061,"3:9",2016,2429,1451,80.6323529411765,481.5,13.6817757009346,86.8066848976569
1061,"3:9",2017,2429,1451,82.9658823529412,540.1,13.131308411215,87.4202409115248
1061,"3:9",2018,2429,1451,66.5994117647059,274.6,14.331308411215,72.2970215033971
1061,"3:9",2019,2429,1451,77.9329411764706,526.3,13.7663551401869,81.0980950859002
1061,"3:9",2020,2429,1451,87.7664705882353,383.7,13.4626168224299,80.7053659012004
1061,"3:9",2021,2429,1451,76.1,659.3,13.0953271028037,65.3642839665092
1062,"3:9",2006,5280,1975,87.5698529411765,547,13.642523364486,86.8010457433454
1062,"3:9",2007,5280,1975,70.6385294117647,627.3,13.8817757009346,69.9201193937269
1062,"3:9",2008,5280,1975,90.4072058823529,434.7,13.3869158878505,95.0904786953261
1062,"3:9",2009,5280,1975,93.8758823529412,351.5,13.8780373831776,90.767253997424
1062,"3:9",2010,5280,1975,86.9445588235294,482.3,12.9985981308411,92.0351745903985
1062,"3:9",2011,5280,1975,77.8132352941176,571.7,13.6901869158878,82.4432079349908
1062,"3:9",2012,5280,1975,90.9819117647059,386.2,13.1514018691589,92.6863917803985
1062,"3:9",2013,5280,1975,91.9505882352941,471.3,12.196261682243,91.0555369196779
1062,"3:9",2014,5280,1975,105.619264705882,425.3,14.1691588785047,97.9731039925157
1062,"3:9",2015,5280,1975,96.3879411764706,415.6,12.9102803738318,93.6375487261082
1062,"3:9",2016,5280,1975,95.0566176470588,397.1,13.8205607476636,95.246303281401
1062,"3:9",2017,5280,1975,87.0252941176471,577.2,13.288785046729,79.0453299339698
