stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
6108,2001-06-27,2024-05-12,53.7197,9.4192,Ruthenstrom,daily,kl,historical,79.28184027427004,1053,Herzogtum Lauenburg
1339,1971-01-01,2024-05-12,52.9157,10.1885,Fassberg,daily,kl,historical,79.76108261607843,1053,Herzogtum Lauenburg
2951,1994-10-01,2024-05-12,53.1007,11.4864,Lenzen/Elbe,daily,kl,historical,79.97367118383211,1053,Herzogtum Lauenburg
2429,1988-03-01,2024-05-12,53.9897,9.5697,Itzehoe,daily,kl,historical,81.13050285553572,1053,Herzogtum Lauenburg
2306,1977-11-01,2024-05-12,54.3194,10.6732,Hohwacht,daily,kl,historical,81.34811641660889,1053,Herzogtum Lauenburg
5877,1997-03-10,2024-05-12,54.316,10.8002,Putlos,daily,kl,historical,81.87087305825375,1053,Herzogtum Lauenburg
4745,1935-01-01,2024-05-12,52.9604,9.793,Soltau,daily,kl,historical,88.19638975338685,1053,Herzogtum Lauenburg
6101,1999-12-16,2024-05-12,54.1323,11.6719,Bastorf-Kaegsdorf (SWN),daily,kl,historical,92.58801413926138,1053,Herzogtum Lauenburg
2564,1974-01-01,2024-05-12,54.3776,10.1424,Kiel-Holtenau,daily,kl,historical,92.68950314672601,1053,Herzogtum Lauenburg
1451,1970-11-01,2024-05-12,53.8277,9.2493,Freiburg/Elbe,daily,kl,historical,92.89230900981131,1053,Herzogtum Lauenburg
3196,1902-01-01,2024-05-12,53.3222,11.9321,Marnitz,daily,kl,historical,92.9349122070986,1053,Herzogtum Lauenburg
19172,2020-09-01,2024-05-12,54.0246,9.388,Wacken,daily,kl,historical,93.26632234971686,1053,Herzogtum Lauenburg
6105,1998-06-01,2024-05-12,54.3194,9.8051,Ostenfeld (Rendsburg),daily,kl,historical,96.50656146994912,1053,Herzogtum Lauenburg
368,1973-01-01,2024-05-12,52.8152,9.9248,Bergen,daily,kl,historical,97.14624136570092,1053,Herzogtum Lauenburg
704,1979-04-01,2024-05-12,53.4451,9.139,Bremervoerde,daily,kl,historical,98.03205918012054,1053,Herzogtum Lauenburg
4275,1946-01-01,2024-05-12,53.1289,9.3398,Rotenburg (Wuemme),daily,kl,historical,98.14276875645493,1053,Herzogtum Lauenburg
