"district_no","accumulation_period","Year","stations","Y_t","IR_t","IT_t","prediction"
5370,"3:6",2021,2110,85.4,237.2,11.2090163934426,92.4239033175207
5382,"3:4",2006,2667,84.7647058823529,147.7,6.38196721311475,85.6530012196835
5382,"3:4",2007,2667,78.1870588235294,55.1,10.7950819672131,80.8717177089466
5382,"3:4",2008,2667,80.6094117647059,135,7.2672131147541,81.3840635944385
5382,"3:4",2009,2667,87.3317647058823,182.1,9.61311475409836,88.4663813192641
5382,"3:4",2010,2667,74.0541176470588,67.1,8.10327868852459,76.8848770535918
5382,"3:4",2011,2667,74.9764705882353,33.1,10.2573770491803,76.7139462472424
5382,"3:4",2012,2667,79.7988235294118,81.9,9.01639344262295,76.8383096253056
5382,"3:4",2013,2667,89.1211764705882,66.5,5.91311475409836,89.591370879072
5382,"3:4",2014,2667,85.0435294117647,42.7,10.5508196721311,78.5700846957019
5382,"3:4",2015,2667,79.4658823529412,80.6,8.02622950819672,77.4134556362156
5382,"3:4",2016,2667,81.5882352941177,104.7,7.08688524590164,81.1490677825976
5382,"3:4",2017,2667,69.5105882352941,80.5,8.98360655737705,76.7308859896443
5382,"3:4",2018,2667,85.2329411764706,121.9,9.21967213114754,80.1068490509687
5382,"3:4",2019,2667,86.8552941176471,124.8,9.62950819672131,81.7583263499966
5382,"3:4",2020,2667,74.3776470588235,105.3,9.94262295081967,81.1648768882638
5382,"3:4",2021,2667,85,73,6.78852459016393,82.6204330178905
5558,"3:6",2006,6337,81.3154411764706,250.7,10.677868852459,87.2346603251714
5558,"3:6",2007,6337,68.5344117647059,247.2,12.9032786885246,69.859065938098
5558,"3:6",2008,6337,93.4533823529412,218.6,11.5713114754098,87.4943282704056
5558,"3:6",2009,6337,91.1723529411765,191.8,12.1696721311475,87.3046081454627
5558,"3:6",2010,6337,76.0913235294118,115.5,10.7729508196721,81.6217922219561
5558,"3:6",2011,6337,85.7102941176471,98.8,12.5401639344262,81.0761471028736
5558,"3:6",2012,6337,88.2292647058823,219.6,11.7639344262295,86.2227063265669
5558,"3:6",2013,6337,98.4482352941177,191.9,9.56803278688525,92.333911781163
5558,"3:6",2014,6337,88.9672058823529,196.5,12.4237704918033,85.3581217260637
5558,"3:6",2015,6337,87.4861764705882,163.2,11.0762295081967,90.485989793734
5558,"3:6",2016,6337,82.2051470588235,279.3,11.35,74.9221660961942
5558,"3:6",2017,6337,85.8241176470588,130.2,12.5245901639344,85.7871000608767
5558,"3:6",2018,6337,80.3430882352941,138.9,13.094262295082,84.6750529136506
5558,"3:6",2019,6337,76.1620588235294,194.2,12.4688524590164,85.3547253246876
5558,"3:6",2020,6337,92.8810294117647,153.6,12.0450819672131,88.5029198297656
5558,"3:6",2021,6337,76.8,257.3,10.7672131147541,85.3902335550952
5570,"3:9",2006,6337,72.35,373.2,14.1995327102804,78.9444953499845
5570,"3:9",2007,6337,66.48,564.7,14.1616822429907,69.2957003284508
5570,"3:9",2008,6337,83.41,448,13.6626168224299,76.8401179513967
5570,"3:9",2009,6337,82.64,363.5,14.3761682242991,79.2711488695079
5570,"3:9",2010,6337,74.17,437.1,13.4271028037383,78.1465595446831
5570,"3:9",2011,6337,75.5,299.8,14.2873831775701,73.6772885665545
5570,"3:9",2012,6337,81.03,383.5,13.9257009345794,78.7563851606715
5570,"3:9",2013,6337,88.86,378.2,12.8873831775701,88.3222725059205
5570,"3:9",2014,6337,86.39,479.8,14.388785046729,80.3854896143598
5570,"3:9",2015,6337,79.02,479.1,13.7275700934579,74.4803563647706
5570,"3:9",2016,6337,78.25,348.6,14.3556074766355,78.1980469537822
5570,"3:9",2017,6337,73.08,421.2,14.3364485981308,80.8488278690324
5570,"3:9",2018,6337,73.81,245,15.518691588785,73.1048764465102
5570,"3:9",2019,6337,72.04,314.7,14.6864485981308,76.7242288739963
5570,"3:9",2020,6337,82.57,341.8,14.4785046728972,78.2681036906305
5570,"3:9",2021,6337,72.2,454.6,13.4766355140187,76.5361019097499
5754,"3:9",2006,3031,68.6073529411765,464.8,14.0911214953271,69.7469243654341
5754,"3:9",2007,3031,65.2935294117647,679.8,14.1869158878505,65.5596933019852
5754,"3:9",2008,3031,72.2797058823529,470.6,13.6261682242991,70.5787100125862
5754,"3:9",2009,3031,65.2658823529412,383,14.2443925233645,71.0974040136752
5754,"3:9",2010,3031,63.3520588235294,480.5,13.2443925233645,69.9230471844318
5754,"3:9",2011,3031,70.7382352941176,346,14.1864485981308,72.6753548392452
5754,"3:9",2012,3031,77.3244117647059,383.1,13.9971962616822,72.9507574295627
5754,"3:9",2013,3031,80.7105882352941,357.6,12.714953271028,80.1677350799802
5754,"3:9",2014,3031,80.8967647058823,439.2,14.1065420560748,70.4244651181449
5754,"3:9",2015,3031,78.9829411764706,432.2,13.6257009345794,72.5356103080383
5754,"3:9",2016,3031,74.3691176470588,321,14.2799065420561,72.451830450207
5754,"3:9",2017,3031,67.855294117647,507,14.2957943925234,68.156326619287
5754,"3:9",2018,3031,59.0414705882353,257.5,15.331308411215,56.7607262576455
5754,"3:9",2019,3031,62.7276470588235,382,14.5182242990654,68.6968125789558
5754,"3:9",2020,3031,67.0138235294118,352.7,14.2523364485981,71.8474070353581
5754,"3:9",2021,3031,74.2,394.5,13.4953271028037,75.0860189348775
5762,"3:8",2006,3028,80.9316176470588,542.7,13.0657608695652,78.2729019466557
5762,"3:8",2007,3028,72.3561764705883,652.7,14.208152173913,72.5972562688288
5762,"3:8",2008,3028,91.6807352941177,445.2,13.4380434782609,85.2570836279478
5762,"3:8",2009,3028,87.7052941176471,384.2,13.9097826086957,86.0522245085385
5762,"3:8",2010,3028,81.2298529411765,410.4,13.0369565217391,85.9444149559495
5762,"3:8",2011,3028,81.8544117647059,315.1,13.8005434782609,84.2983363628635
5762,"3:8",2012,3028,76.5789705882353,363.5,13.6798913043478,85.9449418669928
5762,"3:8",2013,3028,89.6035294117647,354.4,12.3402173913043,87.2700951608929
5762,"3:8",2014,3028,93.7280882352941,416,13.8103260869565,86.1217757665566
5762,"3:8",2015,3028,87.2526470588235,407.9,13.3923913043478,86.0941510655369
5762,"3:8",2016,3028,86.177205882353,321.1,13.5288043478261,85.1284389161166
5762,"3:8",2017,3028,82.1017647058824,484.8,14.0548913043478,84.9123652382586
5762,"3:8",2018,3028,76.8263235294118,273.3,15.3820652173913,76.3823722011493
5762,"3:8",2019,3028,82.8508823529412,391.6,14.4494565217391,85.9206828461398
5762,"3:8",2020,3028,87.6754411764706,320,14.0798913043478,83.8911046561264
5762,"3:8",2021,3028,76.4,501.5,12.7907608695652,80.864795787918
5766,"3:8",2006,3028,77.3602941176471,542.7,13.0657608695652,74.696008186007
5766,"3:8",2007,3028,69.9229411764706,652.7,14.208152173913,70.3280841211416
5766,"3:8",2008,3028,90.3855882352941,445.2,13.4380434782609,82.7827215898487
5766,"3:8",2009,3028,83.9482352941177,384.2,13.9097826086957,84.4869766791602
5766,"3:8",2010,3028,77.3108823529412,410.4,13.0369565217391,83.4558886130852
5766,"3:8",2011,3028,87.0735294117647,315.1,13.8005434782609,83.7088953710295
5766,"3:8",2012,3028,74.5361764705882,363.5,13.6798913043478,84.5790264281612
5766,"3:8",2013,3028,87.0988235294118,354.4,12.3402173913043,84.663607685887
5766,"3:8",2014,3028,89.4614705882353,416,13.8103260869565,84.1696834225539
5766,"3:8",2015,3028,88.2241176470588,407.9,13.3923913043478,83.9816770385341
5766,"3:8",2016,3028,82.7867647058823,321.1,13.5288043478261,84.3605830267533
