"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:6","IT_t_squared",-4.63898903391758,2.53808611299598,-1.82775084350533,0.0975337973737096,1053
"3:6","IR_t_IT_t",0.0507072029946914,0.0544929440038029,0.930527867812623,0.374016217424456,1053
"3:7","(Intercept)",88.2453982046371,620.139300572104,0.142299315852466,0.889669771737968,1053
"3:7","IR_t",1.06327796133788,1.16786133401843,0.910448809602509,0.384006441339845,1053
"3:7","IT_t",-21.804090977384,101.747147715145,-0.214296827645995,0.834622215835457,1053
"3:7","IR_t_squared",-0.000951108584283891,0.000522017204488858,-1.8219870458392,0.0984568327012943,1053
"3:7","IT_t_squared",1.06902556706728,4.26693431984458,0.250537150781881,0.807244297710059,1053
"3:7","IR_t_IT_t",-0.0336727382621715,0.0777577666117336,-0.433046623243553,0.674172258399585,1053
"3:8","(Intercept)",-966.921180003956,1209.72353841517,-0.799291035760698,0.442692768782793,1053
"3:8","IR_t",-0.0710185965764591,0.683122970782566,-0.103961657877062,0.919255267771545,1053
"3:8","IT_t",168.504126408031,187.671368266759,0.897868055016878,0.390361341131944,1053
"3:8","IR_t_squared",-0.000244881719565713,0.000415677780661647,-0.589114287455845,0.568853232362513,1053
"3:8","IT_t_squared",-6.82307840961422,7.05233970577519,-0.967491455924447,0.356114483544149,1053
"3:8","IR_t_IT_t",0.0165630403215885,0.0462366070468658,0.358223524161278,0.727622511763465,1053
"3:9","(Intercept)",-535.551808978742,1313.43174540756,-0.40775001125967,0.692049756935692,1053
"3:9","IR_t",0.634085367357018,0.950544208971081,0.667076145825332,0.519818574493729,1053
"3:9","IT_t",81.0323800650307,199.102557884592,0.406988141819858,0.692591342898592,1053
"3:9","IR_t_squared",-0.000401613288158685,0.000370029525210479,-1.08535471035789,0.303235867650146,1053
"3:9","IT_t_squared",-2.91925357614842,7.45075637898018,-0.391806338532839,0.703421088148894,1053
"3:9","IR_t_IT_t",-0.0235050135784917,0.0563735148130701,-0.41695135838935,0.685523296792156,1053
"3:10","(Intercept)",713.201847227218,994.446103650178,0.71718501848352,0.48967279322851,1054
"3:10","IR_t",-0.831984748315805,1.15889543668529,-0.717911833957578,0.489243650312009,1054
"3:10","IT_t",-61.1536957165648,142.558692401678,-0.428972058359349,0.67703785819505,1054
"3:10","IR_t_squared",-0.000113242432618267,0.000185131730338592,-0.611685702991892,0.554396682381667,1054
"3:10","IT_t_squared",0.595515180011705,5.77719979070495,0.103080246760696,0.91993716775186,1054
"3:10","IR_t_IT_t",0.0782941372700858,0.0779288612724608,1.00468730059262,0.338738640303281,1054
"3:3","(Intercept)",80.1459342019835,7.72776710937644,10.371163243874,1.1370401051015e-06,1054
"3:3","IR_t",-0.0576057877000301,0.266826152163841,-0.215892584864238,0.833411501411853,1054
"3:3","IT_t",3.50720191678466,3.3809186594355,1.03735175852182,0.324004873146786,1054
"3:3","IR_t_squared",0.0017040255997236,0.00257371520108436,0.662087863880845,0.522879246116082,1054
"3:3","IT_t_squared",-0.171366881590138,0.491904814398778,-0.348374068669339,0.734781983593485,1054
"3:3","IR_t_IT_t",-0.0266682368571512,0.0450552444728977,-0.591900835721647,0.567057277678982,1054
"3:4","(Intercept)",73.3441834814095,19.9422063378908,3.67783695739088,0.00426157707689486,1054
"3:4","IR_t",0.456589482130079,0.283766531557915,1.60903218439237,0.138687864130578,1054
"3:4","IT_t",-0.0653029015938239,7.25320420124366,-0.0090033176761557,0.992993571339486,1054
"3:4","IR_t_squared",-0.00421240174078018,0.00148341032064534,-2.83967401477133,0.0175582074383332,1054
"3:4","IT_t_squared",-0.206114090211142,0.619414402249928,-0.332756373540015,0.746188907565788,1054
"3:4","IR_t_IT_t",0.036686916556449,0.0295997172054216,1.23943469803588,0.243483870425147,1054
"3:5","(Intercept)",-53.9199676048802,120.355036144354,-0.448007572696904,0.663697452968435,1054
"3:5","IR_t",0.749629829112859,1.00316342271744,0.747265911153549,0.472108370362476,1054
"3:5","IT_t",25.7263437904599,27.382743028241,0.939509375080767,0.369608116836809,1054
"3:5","IR_t_squared",-0.00171554155416355,0.00246118178285584,-0.697039757938121,0.501660264881694,1054
"3:5","IT_t_squared",-1.35960215162933,1.84167124043042,-0.738243678774924,0.47733406676308,1054
"3:5","IR_t_IT_t",-0.0401217134460396,0.0684217829964064,-0.5863880140064,0.570613375420381,1054
"3:6","(Intercept)",-186.156391010824,374.013801937537,-0.497725993122343,0.629439485484351,1054
"3:6","IR_t",-0.0675190039003037,1.540092028196,-0.0438408891573791,0.965894302525317,1054
"3:6","IT_t",60.2494313542168,51.4309958500776,1.17146149629,0.268568781930462,1054
"3:6","IR_t_squared",8.70023975797988e-06,0.00123751518555956,0.00703041050283838,0.994528866238205,1054
"3:6","IT_t_squared",-3.17567919212968,2.2541598223291,-1.4088083554113,0.18921846363054,1054
"3:6","IR_t_IT_t",0.00244018717010343,0.142674814477813,0.0171031389039087,0.986690764268397,1054
"3:7","(Intercept)",12.241467551016,395.689960802455,0.0309370182811575,0.975928517355577,1054
"3:7","IR_t",0.227450870941293,0.545112501478195,0.417254915865091,0.68530844308801,1054
"3:7","IT_t",6.33205970233784,69.7470545447409,0.090786051736077,0.929455358663191,1054
"3:7","IR_t_squared",-0.000820165655891827,0.000458615834227428,-1.78835006269126,0.104005793947571,1054
"3:7","IT_t_squared",-0.6094528350924,3.10813709248735,-0.196082996649505,0.848472541963533,1054
"3:7","IR_t_IT_t",0.0266696853132934,0.0572264916566994,0.466037398785239,0.651174395614051,1054
"3:8","(Intercept)",1675.78852678455,965.891443425023,1.73496570260759,0.113402715503917,1054
"3:8","IR_t",1.82400706181249,0.800754132690995,2.27786156492602,0.0459524675349024,1054
"3:8","IT_t",-317.574243738808,178.385972856603,-1.78026466236834,0.105381702112548,1054
"3:8","IR_t_squared",-0.00148325489428492,0.00039371805366568,-3.76730221150692,0.00367779223762632,1054
"3:8","IT_t_squared",13.4957546180994,7.72388574475629,1.74727527880143,0.111169765389751,1054
